;name;qid;measure;value
343;Compose(BR(BM25), BR(TF_IDF));146187;map;0.6978651021500836
316;Compose(BR(BM25), BR(TF_IDF));148538;map;0.22277477340365864
301;Compose(BR(BM25), BR(TF_IDF));156493;map;0.8195793528442563
307;Compose(BR(BM25), BR(TF_IDF));168216;map;0.8508672549764795
340;Compose(BR(BM25), BR(TF_IDF));182539;map;0.822943401687337
326;Compose(BR(BM25), BR(TF_IDF));183378;map;0.5139287025429782
337;Compose(BR(BM25), BR(TF_IDF));19335;map;0.2985645933676316
324;Compose(BR(BM25), BR(TF_IDF));207786;map;0.5136847892222288
312;Compose(BR(BM25), BR(TF_IDF));264014;map;0.5056232435148178
318;Compose(BR(BM25), BR(TF_IDF));359349;map;0.49447746475464455
339;Compose(BR(BM25), BR(TF_IDF));405717;map;0.3225376238188225
332;Compose(BR(BM25), BR(TF_IDF));443396;map;0.05618963010968177
317;Compose(BR(BM25), BR(TF_IDF));451602;map;0.14938196418039162
338;Compose(BR(BM25), BR(TF_IDF));47923;map;0.38361265994858174
305;Compose(BR(BM25), BR(TF_IDF));489204;map;0.021945834506713294
329;Compose(BR(BM25), BR(TF_IDF));490595;map;0.4408442404065161
309;Compose(BR(BM25), BR(TF_IDF));527433;map;0.11154881194683872
306;Compose(BR(BM25), BR(TF_IDF));573724;map;0.6121283805432968
323;Compose(BR(BM25), BR(TF_IDF));833860;map;0.4586320794226532
335;Compose(BR(BM25), BR(TF_IDF));855410;map;0.8875
331;Compose(BR(BM25), BR(TF_IDF));87181;map;0.6729069594699555
334;Compose(BR(BM25), BR(TF_IDF));87452;map;0.35920314627784256
311;Compose(BR(BM25), BR(TF_IDF));915593;map;0.3558523122453607
314;Compose(BR(BM25), BR(TF_IDF));962179;map;0.5925067159928641
396;Compose(BR(BM25), BR(Tf));1037798;map;0.007891411357008897
408;Compose(BR(BM25), BR(Tf));104861;map;0.6761391893275114
389;Compose(BR(BM25), BR(Tf));1063750;map;0.15811383688920636
416;Compose(BR(BM25), BR(Tf));1103812;map;0.028329499993142958
413;Compose(BR(BM25), BR(Tf));1106007;map;0.3007136604366243
388;Compose(BR(BM25), BR(Tf));1110199;map;0.29844851546205864
406;Compose(BR(BM25), BR(Tf));1112341;map;0.03400719964770553
427;Compose(BR(BM25), BR(Tf));1113437;map;0.08755726244763824
422;Compose(BR(BM25), BR(Tf));1114646;map;0.018111430528866768
411;Compose(BR(BM25), BR(Tf));1114819;map;0.33430031596272164
405;Compose(BR(BM25), BR(Tf));1115776;map;0.18674449438676266
401;Compose(BR(BM25), BR(Tf));1117099;map;0.08458891182680288
399;Compose(BR(BM25), BR(Tf));1121402;map;0.5747479194604955
419;Compose(BR(BM25), BR(Tf));1121709;map;0.16818007808170254
414;Compose(BR(BM25), BR(Tf));1124210;map;0.06430509865518348
428;Compose(BR(BM25), BR(Tf));1129237;map;0.20816943355863202
394;Compose(BR(BM25), BR(Tf));1133167;map;0.7383865355533544
390;Compose(BR(BM25), BR(Tf));130510;map;0.783976112448039
407;Compose(BR(BM25), BR(Tf));131843;map;0.005567328232294469
429;Compose(BR(BM25), BR(Tf));146187;map;0.30808415388097216
402;Compose(BR(BM25), BR(Tf));148538;map;0.22653880411864905
387;Compose(BR(BM25), BR(Tf));156493;map;0.6636965792544374
393;Compose(BR(BM25), BR(Tf));168216;map;0.16696221797998018
426;Compose(BR(BM25), BR(Tf));182539;map;0.2654795512092302
412;Compose(BR(BM25), BR(Tf));183378;map;0.07952124851278113
423;Compose(BR(BM25), BR(Tf));19335;map;0.077433206248938
410;Compose(BR(BM25), BR(Tf));207786;map;0.079340811560475
398;Compose(BR(BM25), BR(Tf));264014;map;0.5515040187977271
404;Compose(BR(BM25), BR(Tf));359349;map;0.23740529983451014
425;Compose(BR(BM25), BR(Tf));405717;map;0.26373938960246956
418;Compose(BR(BM25), BR(Tf));443396;map;0.016314902388842163
403;Compose(BR(BM25), BR(Tf));451602;map;0.17277871301344205
424;Compose(BR(BM25), BR(Tf));47923;map;0.37014218057097786
391;Compose(BR(BM25), BR(Tf));489204;map;0.045113412182804465
415;Compose(BR(BM25), BR(Tf));490595;map;0.11524329599944344
395;Compose(BR(BM25), BR(Tf));527433;map;0.03789124347161779
392;Compose(BR(BM25), BR(Tf));573724;map;0.5947652433741768
409;Compose(BR(BM25), BR(Tf));833860;map;0.14241368875419314
421;Compose(BR(BM25), BR(Tf));855410;map;0.6791666666666667
417;Compose(BR(BM25), BR(Tf));87181;map;0.37869124054047587
420;Compose(BR(BM25), BR(Tf));87452;map;0.15705183048061025
397;Compose(BR(BM25), BR(Tf));915593;map;0.2838439189898877
400;Compose(BR(BM25), BR(Tf));962179;map;0.3383648442342064
181;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1037798;map;0.1293350496297434
193;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));104861;map;0.46400605963264624
174;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1063750;map;0.18220160536056304
201;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1103812;map;0.3265615983068262
198;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1106007;map;0.3150992809360286
173;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1110199;map;0.4418512906915838
191;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1112341;map;0.11222039179798114
212;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1113437;map;0.12623746462661686
207;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1114646;map;0.538257830997684
196;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1114819;map;0.583145839488186
190;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1115776;map;0.35168634096116685
186;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1117099;map;0.27168316800394365
184;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1121402;map;0.8212352050116142
204;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1121709;map;0.3369334136958508
199;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1124210;map;0.9100812515263934
213;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1129237;map;0.48701068349676235
179;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));1133167;map;0.7758890265883299
175;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));130510;map;0.8718171779207861
192;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));131843;map;0.33203608757511227
214;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));146187;map;0.6985385643743595
187;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));148538;map;0.21784947490660034
172;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));156493;map;0.8195161051402685
